"","county","trade_name","account","license_type","expiration_date","lat","lon","address_full","publish_date","state","expired_y_n"
"63",NA,"DOLLAR GENERAL STORE #13410","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"64",NA,"DOLLAR GENERAL #15375","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"65",NA,"DOLLAR GENERAL STORE #14912","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"66",NA,"DOLLAR GENERAL STORE#15161","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"67",NA,"DOLLAR GENERAL #21636","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"68",NA,"DOLLAR GENERAL #13543","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"69",NA,"DOLLAR GENERAL #15519","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"70",NA,"DOLLAR GENERAL STORE #15481","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"71",NA,"DOLLAR GENERAL STORE #13407","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"72",NA,"DOLLAR GENERAL STORE #14675","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"73",NA,"DOLLAR GENERAL STORE #15513","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
